n_trades,hit_rate,total_pnl,final_equity,return_pct,avg_win,avg_loss,profit_factor,sharpe_per_trade,max_drawdown,equity_curve,variant
98,0.5306122448979592,-2715.2672689629217,-1715.2672689629203,-271.526726896292,-1.4997731101850085,-57.33215363550653,0.02957146352033037,-0.6802870218996832,2.6573072650589435,"[1000.0, np.float64(1003.5714285714286), np.float64(1007.1428571428571), np.float64(1010.7142857142857), np.float64(1014.2857142857142), np.float64(1017.8571428571428), np.float64(1021.4285714285713), np.float64(1025.0), np.float64(1028.5714285714287), np.float64(1032.1428571428573), np.float64(1027.7950310559008), np.float64(1023.4472049689443), np.float64(1019.0993788819878), np.float64(1022.273982056591), np.float64(1025.448585231194), np.float64(1028.6231884057972), np.float64(1031.7977915804004), np.float64(1034.9723947550035), np.float64(1034.9723947550035), np.float64(1034.9723947550035), np.float64(1034.9723947550035), np.float64(1034.9723947550035), np.float64(1033.2180087900913), np.float64(1031.463622825179), np.float64(1029.7092368602669), np.float64(1027.9548508953546), np.float64(1013.6691366096403), np.float64(999.383422323926), np.float64(985.0977080382116), np.float64(970.8119937524973), np.float64(956.526279466783), np.float64(856.526279466783), np.float64(756.526279466783), np.float64(656.526279466783), np.float64(556.526279466783), np.float64(456.52627946678297), np.float64(356.52627946678297), np.float64(256.52627946678297), np.float64(156.52627946678297), np.float64(56.52627946678297), np.float64(-43.47372053321703), np.float64(-143.47372053321703), np.float64(-243.47372053321703), np.float64(-343.47372053321703), np.float64(-443.47372053321703), np.float64(-543.473720533217), np.float64(-643.473720533217), np.float64(-743.473720533217), np.float64(-743.473720533217), np.float64(-743.473720533217), np.float64(-743.473720533217), np.float64(-745.6476335766953), np.float64(-747.8215466201735), np.float64(-749.9954596636518), np.float64(-752.16937270713), np.float64(-756.7148272525845), np.float64(-761.260281798039), np.float64(-765.8057363434935), np.float64(-770.351190888948), np.float64(-774.8966454344026), np.float64(-779.4420999798571), np.float64(-783.9875545253116), np.float64(-791.1304116681687), np.float64(-798.2732688110258), np.float64(-805.4161259538829), np.float64(-810.9716815094384), np.float64(-816.527237064994), np.float64(-822.0827926205495), np.float64(-827.6383481761051), np.float64(-833.1939037316606), np.float64(-838.7494592872162), np.float64(-844.3050148427717), np.float64(-849.8605703983272), np.float64(-855.4161259538828), np.float64(-860.9716815094383), np.float64(-866.5272370649939), np.float64(-886.5272370649939), np.float64(-906.5272370649939), np.float64(-926.5272370649939), np.float64(-946.5272370649939), np.float64(-996.5272370649939), np.float64(-1046.5272370649939), np.float64(-1096.5272370649939), np.float64(-1146.5272370649939), np.float64(-1196.5272370649939), np.float64(-1201.7903949597307), np.float64(-1207.0535528544676), np.float64(-1212.3167107492045), np.float64(-1210.801559234053), np.float64(-1209.2864077189015), np.float64(-1207.77125620375), np.float64(-1206.2561046885985), np.float64(-1204.740953173447), np.float64(-1207.3725321208153), np.float64(-1210.0041110681836), np.float64(-1212.635690015552), np.float64(-1215.2672689629203), np.float64(-1315.2672689629203), np.float64(-1415.2672689629203), np.float64(-1515.2672689629203), np.float64(-1615.2672689629203), np.float64(-1715.2672689629203)]",baseline
98,0.3469387755102041,-2584.1691270813285,-1584.1691270813278,-258.41691270813277,-2.047611569418003,-39.28984896439244,0.027686378922941606,-0.6950558730874168,2.5348351404248155,"[1000.0, np.float64(1003.5714285714286), np.float64(1007.1428571428571), np.float64(1010.7142857142857), np.float64(1014.2857142857142), np.float64(1017.8571428571428), np.float64(1021.4285714285713), np.float64(1025.0), np.float64(1028.5714285714287), np.float64(1032.1428571428573), np.float64(1027.7950310559008), np.float64(1023.4472049689443), np.float64(1019.0993788819878), np.float64(1012.7501725327814), np.float64(1006.4009661835751), np.float64(1000.0517598343687), np.float64(993.7025534851623), np.float64(987.3533471359559), np.float64(987.3533471359559), np.float64(987.3533471359559), np.float64(984.5364457275052), np.float64(984.5364457275052), np.float64(982.7820597625929), np.float64(981.0276737976806), np.float64(979.2732878327682), np.float64(977.5189018678559), np.float64(963.2331875821416), np.float64(948.9474732964272), np.float64(934.6617590107129), np.float64(920.3760447249986), np.float64(906.0903304392842), np.float64(806.0903304392842), np.float64(706.0903304392842), np.float64(706.0903304392842), np.float64(606.0903304392842), np.float64(606.0903304392842), np.float64(606.0903304392842), np.float64(506.09033043928423), np.float64(406.09033043928423), np.float64(306.09033043928423), np.float64(206.09033043928423), np.float64(106.09033043928423), np.float64(6.09033043928423), np.float64(-93.90966956071577), np.float64(-193.90966956071577), np.float64(-293.90966956071577), np.float64(-393.90966956071577), np.float64(-493.90966956071577), np.float64(-497.03466956071577), np.float64(-500.15966956071577), np.float64(-503.28466956071577), np.float64(-505.458582604194), np.float64(-507.6324956476723), np.float64(-509.8064086911505), np.float64(-511.9803217346288), np.float64(-525.6166853709924), np.float64(-539.253049007356), np.float64(-552.8894126437197), np.float64(-566.5257762800833), np.float64(-580.1621399164469), np.float64(-593.7985035528105), np.float64(-607.4348671891742), np.float64(-614.5777243320313), np.float64(-621.7205814748884), np.float64(-628.8634386177455), np.float64(-634.418994173301), np.float64(-639.9745497288566), np.float64(-645.5301052844121), np.float64(-651.0856608399677), np.float64(-656.6412163955232), np.float64(-662.1967719510787), np.float64(-667.7523275066343), np.float64(-673.3078830621898), np.float64(-678.8634386177454), np.float64(-684.4189941733009), np.float64(-689.9745497288565), np.float64(-709.9745497288565), np.float64(-729.9745497288565), np.float64(-749.9745497288565), np.float64(-769.9745497288565), np.float64(-819.9745497288565), np.float64(-869.9745497288565), np.float64(-919.9745497288565), np.float64(-969.9745497288565), np.float64(-1019.9745497288565), np.float64(-1025.2377076235932), np.float64(-1030.50086551833), np.float64(-1035.764023413067), np.float64(-1043.3397809888245), np.float64(-1050.915538564582), np.float64(-1058.4912961403395), np.float64(-1066.067053716097), np.float64(-1073.6428112918545), np.float64(-1076.2743902392228), np.float64(-1078.9059691865912), np.float64(-1081.5375481339595), np.float64(-1084.1691270813278), np.float64(-1184.1691270813278), np.float64(-1284.1691270813278), np.float64(-1384.1691270813278), np.float64(-1484.1691270813278), np.float64(-1584.1691270813278)]",momentum_only
99,0.42424242424242425,-2784.2834493787495,-1784.283449378749,-278.4283449378749,-2.319824908906307,-47.13773338955586,0.03626276757081345,-0.7003844117020684,2.7347200202293394,"[1000.0, np.float64(1003.5714285714286), np.float64(1007.1428571428571), np.float64(1007.1428571428571), np.float64(1010.7142857142857), np.float64(1014.2857142857142), np.float64(1017.8571428571428), np.float64(1021.4285714285713), np.float64(1025.0), np.float64(1028.5714285714287), np.float64(1024.2236024844722), np.float64(1019.8757763975157), np.float64(1015.5279503105592), np.float64(1009.1787439613528), np.float64(1002.8295376121464), np.float64(996.48033126294), np.float64(990.1311249137336), np.float64(983.7819185645272), np.float64(980.9650171560766), np.float64(980.9650171560766), np.float64(978.1481157476259), np.float64(975.3312143391752), np.float64(973.5768283742628), np.float64(971.8224424093505), np.float64(970.0680564444382), np.float64(968.3136704795259), np.float64(954.0279561938115), np.float64(939.7422419080972), np.float64(925.4565276223829), np.float64(911.1708133366685), np.float64(896.8850990509542), np.float64(796.8850990509542), np.float64(696.8850990509542), np.float64(596.8850990509542), np.float64(496.8850990509542), np.float64(396.8850990509542), np.float64(296.8850990509542), np.float64(196.88509905095418), np.float64(96.88509905095418), np.float64(-3.1149009490458184), np.float64(-103.11490094904582), np.float64(-203.11490094904582), np.float64(-303.1149009490458), np.float64(-403.1149009490458), np.float64(-503.1149009490458), np.float64(-603.1149009490458), np.float64(-703.1149009490458), np.float64(-803.1149009490458), np.float64(-806.2399009490458), np.float64(-809.3649009490458), np.float64(-812.4899009490458), np.float64(-814.6638139925241), np.float64(-816.8377270360023), np.float64(-819.0116400794806), np.float64(-821.1855531229588), np.float64(-825.7310076684133), np.float64(-830.2764622138678), np.float64(-834.8219167593223), np.float64(-839.3673713047768), np.float64(-843.9128258502313), np.float64(-848.4582803956858), np.float64(-853.0037349411404), np.float64(-860.1465920839975), np.float64(-867.2894492268546), np.float64(-874.4323063697117), np.float64(-879.9878619252672), np.float64(-885.5434174808228), np.float64(-891.0989730363783), np.float64(-896.6545285919339), np.float64(-902.2100841474894), np.float64(-907.7656397030449), np.float64(-913.3211952586005), np.float64(-918.876750814156), np.float64(-924.4323063697116), np.float64(-929.9878619252671), np.float64(-935.5434174808227), np.float64(-955.5434174808227), np.float64(-975.5434174808227), np.float64(-995.5434174808227), np.float64(-1015.5434174808227), np.float64(-1065.5434174808227), np.float64(-1115.5434174808227), np.float64(-1165.5434174808227), np.float64(-1215.5434174808227), np.float64(-1265.5434174808227), np.float64(-1270.8065753755595), np.float64(-1276.0697332702964), np.float64(-1281.3328911650333), np.float64(-1279.8177396498818), np.float64(-1278.3025881347303), np.float64(-1276.7874366195788), np.float64(-1275.2722851044273), np.float64(-1273.7571335892758), np.float64(-1276.388712536644), np.float64(-1279.0202914840124), np.float64(-1281.6518704313808), np.float64(-1284.283449378749), np.float64(-1384.283449378749), np.float64(-1484.283449378749), np.float64(-1584.283449378749), np.float64(-1684.283449378749), np.float64(-1784.283449378749)]",combined
